Comunidades Autónomas;Confirmados;Curados;Fallecidos
Andalucía;14639;7679;1281
Aragón;6382;2790;788
Asturias;3073;953;287
Baleares;2013;1321;199
Canarias;2231;1223;143
Cantabria;2626;1696;199
Castilla La Mancha;22166;5862;2647
Castilla y León;22156;7036;1847
Cataluña;52090;22881;5345
Ceuta;164;150;4
C. Valenciana;13064;7747;1291
Extremadura;3746;2189;463
Galicia;10192;6802;582
Madrid;68105;38331;8466
Melilla;131;104;2
Murcia;2133;1465;136
Navarra;6770;2628;476
País Vasco;16679;12749;1364
La Rioja;5322;2396;337
