Comunidades Autónomas;Confirmados (24h);Curados (24h);Fallecidos (24h)
Andalucía;329.0;303.0;24.0
Aragón;87.0;148.0;14.0
Asturias;37.0;28.0;8.0
Baleares;29.0;21.0;2.0
C. Valenciana;217.0;224.0;25.0
Canarias;15.0;19.0;2.0
Cantabria;42.0;133.0;4.0
Castilla y León;483.0;90.0;27.0
Castilla-La Mancha;472.0;94.0;37.0
Cataluña;717.0;615.0;105.0
Ceuta;0.0;14.0;0.0
Extremadura;55.0;152.0;5.0
Galicia;184.0;53.0;6.0
La Rioja;81.0;35.0;4.0
Madrid;784.0;690.0;83.0
Melilla;2.0;16.0;0.0
Murcia;15.0;51.0;1.0
Navarra;94.0;185.0;12.0
País Vasco;352.0;482.0;19.0
