;France;China;Germany;Iran;Italy;Korea, South;Norway;Spain;US;United Kingdom
1;288.0;643.0;482.0;388.0;322.0;433.0;400.0;259.0;262.0;274.0
2;380.0;920.0;670.0;593.0;453.0;602.0;598.0;400.0;402.0;322.0
3;656.0;1406.0;799.0;978.0;655.0;833.0;702.0;500.0;518.0;384.0
4;959.0;2075.0;1040.0;1501.0;888.0;977.0;996.0;673.0;583.0;459.0
5;1136.0;2877.0;1176.0;2336.0;1128.0;1261.0;1090.0;1073.0;959.0;459.0
6;1219.0;5509.0;1457.0;2922.0;1694.0;1766.0;1221.0;1695.0;1281.0;802.0
7;1794.0;6087.0;1908.0;3513.0;2036.0;2337.0;1333.0;2277.0;1663.0;1144.0
8;2293.0;8141.0;2078.0;4747.0;2502.0;3150.0;1463.0;2277.0;2179.0;1145.0
9;2293.0;9802.0;3675.0;5823.0;3089.0;3736.0;1550.0;5232.0;2727.0;1551.0
10;3681.0;11891.0;4585.0;6566.0;3858.0;4335.0;1746.0;6391.0;3499.0;1960.0
11;4496.0;16630.0;5795.0;7161.0;4636.0;5186.0;1914.0;7798.0;4632.0;2642.0
12;4532.0;19716.0;7272.0;8042.0;5883.0;5621.0;2118.0;9942.0;6421.0;2716.0
13;6683.0;23707.0;9257.0;9000.0;7375.0;6088.0;2385.0;11748.0;7783.0;4014.0
14;7715.0;27440.0;12327.0;10075.0;9172.0;6593.0;2621.0;13910.0;13747.0;5067.0
15;9124.0;30587.0;15320.0;11364.0;10149.0;7041.0;2863.0;17963.0;19273.0;5745.0
16;10970.0;34110.0;19848.0;12729.0;12462.0;7314.0;3084.0;20410.0;25600.0;6726.0
17;12758.0;36814.0;22213.0;13938.0;12462.0;7478.0;3369.0;25374.0;33276.0;8164.0
18;14463.0;39829.0;24873.0;14991.0;17660.0;7513.0;3755.0;28768.0;43843.0;9640.0
19;16243.0;42354.0;29056.0;16169.0;21157.0;7755.0;4015.0;35136.0;53736.0;11812.0
20;20123.0;44386.0;32986.0;17361.0;24747.0;7869.0;4284.0;39885.0;65778.0;14745.0
21;22622.0;44759.0;37323.0;18407.0;27980.0;7979.0;4445.0;49515.0;83836.0;17312.0
22;25600.0;59895.0;43938.0;19644.0;31506.0;8086.0;4641.0;57786.0;101657.0;19780.0
23;29551.0;66358.0;50871.0;20610.0;35713.0;8162.0;4863.0;65719.0;121465.0;22453.0
24;33402.0;68413.0;57695.0;21638.0;41035.0;8236.0;5147.0;73235.0;140909.0;25481.0
25;38105.0;70513.0;62095.0;23049.0;47021.0;8320.0;5370.0;80110.0;161831.0;29865.0
26;40708.0;72434.0;66885.0;24811.0;53578.0;8413.0;5550.0;87956.0;188172.0;34173.0
27;45170.0;74211.0;71808.0;27017.0;59138.0;8565.0;5687.0;95923.0;213242.0;38689.0
28;52827.0;74619.0;77872.0;29406.0;63927.0;8652.0;5865.0;104118.0;243622.0;42477.0
29;57749.0;75077.0;84794.0;32332.0;69176.0;8799.0;6086.0;112065.0;275367.0;48436.0
30;59929.0;75550.0;91159.0;35408.0;74386.0;8961.0;6086.0;119199.0;308650.0;52279.0
31;65202.0;77001.0;96092.0;38309.0;80589.0;8961.0;6211.0;126168.0;336802.0;55949.0
32;69500.0;77022.0;100123.0;41495.0;86498.0;9037.0;6314.0;131646.0;366317.0;61474.0
33;71412.0;77241.0;103374.0;44605.0;92472.0;9137.0;6409.0;136675.0;397121.0;65872.0
34;75343.0;77754.0;107663.0;47593.0;97689.0;9241.0;6525.0;141942.0;428654.0;74605.0
35;79163.0;78166.0;113296.0;50468.0;101739.0;9332.0;6603.0;148220.0;462780.0;79874.0
36;83057.0;78600.0;118181.0;53183.0;105792.0;9478.0;6623.0;153222.0;496535.0;85206.0
37;87366.0;78928.0;122171.0;55743.0;110574.0;9583.0;6740.0;158273.0;526396.0;89570.0
38;91738.0;79356.0;124908.0;58226.0;115242.0;9661.0;6896.0;163027.0;555313.0;94845.0
39;94863.0;79932.0;127854.0;60500.0;119827.0;9786.0;6937.0;166831.0;580619.0;99483.0
40;121712.0;80136.0;130072.0;62589.0;124632.0;9887.0;7036.0;170099.0;607670.0;104145.0
41;125394.0;80261.0;131359.0;64586.0;128948.0;9976.0;7078.0;172541.0;636350.0;109769.0
42;130365.0;80386.0;134753.0;66220.0;132547.0;10062.0;7156.0;177644.0;667592.0;115314.0
43;133585.0;80537.0;137698.0;68192.0;135586.0;10156.0;7191.0;184948.0;699706.0;121172.0
44;146075.0;80690.0;141397.0;70029.0;139422.0;10237.0;7338.0;190839.0;732197.0;125856.0
45;148084.0;80770.0;143342.0;71686.0;143626.0;10284.0;7401.0;191726.0;758809.0;130172.0
46;148086.0;80823.0;145184.0;73303.0;147577.0;10331.0;7463.0;198674.0;784326.0;134638.0
47;153011.0;80860.0;147065.0;74877.0;152271.0;10384.0;7499.0;200210.0;811865.0;139246.0
48;155393.0;80887.0;148291.0;76389.0;156363.0;10423.0;7527.0;204178.0;840351.0;144640.0
49;158168.0;80921.0;150648.0;77995.0;159516.0;10450.0;7599.0;208389.0;869170.0;149569.0
50;155980.0;80932.0;153129.0;79494.0;162488.0;10480.0;7660.0;213024.0;905358.0;154037.0
51;158303.0;80945.0;154999.0;80868.0;165155.0;10512.0;7710.0;202990.0;938154.0;158348.0
52;159952.0;80977.0;156513.0;82211.0;168941.0;10537.0;7738.0;205905.0;965785.0;162350.0
